"rent" "rentpm2" "Area" "NumRooms" "Year" "Borough" "GoodArea" "GreatArea" "HotWater" "CentralHeating" "TiledBathrm" "QualityBathrm" "QualityKitch" "Old"
741.39 10.9 68 2 1918 2 1 0 0 0 0 0 0 "yes"
715.82 11.01 65 2 1995 2 1 0 0 0 0 0 0 "no"
528.25 8.38 63 3 1918 2 1 0 0 0 0 0 0 "yes"
553.99 8.52 65 3 1983 16 0 0 0 0 0 1 0 "no"
698.21 6.98 100 4 1995 16 1 0 0 0 0 1 1 "no"
935.65 11.55 81 4 1980 16 0 0 0 0 0 0 0 "no"
204.85 3.72 55 2 1924 6 0 0 0 0 0 1 0 "yes"
426.93 5.4 79 3 1924 6 0 0 0 0 0 0 0 "yes"
446.33 8.58 52 1 1957 6 0 0 0 0 0 0 0 "no"
381.45 4.95 77 3 1948 6 0 0 0 0 0 0 0 "yes"
337.26 9.64 35 1 1957 6 0 0 0 0 0 0 0 "no"
756.73 11.13 68 2 1985 6 1 0 0 0 0 0 0 "no"
945.9 10.28 92 3 1918 12 1 0 0 0 0 0 0 "yes"
264.93 11.52 23 1 1957.5 4 1 0 0 0 0 0 0 "no"
540.58 6.84 79 2 1918 12 1 0 0 0 0 0 0 "yes"
757.74 9.24 82 4 1966 10 0 0 0 0 1 0 0 "no"
538.7 7.48 72 3 1972 10 0 0 0 0 0 0 0 "no"
796.07 4.47 178 6 1918 1 1 0 1 1 0 0 0 "yes"
461.19 9.41 49 2 2001 3 1 0 0 0 1 0 0 "no"
752.27 8.65 87 3 1966 4 0 0 0 0 1 1 0 "no"
446.55 10.38 43 2 1972 4 0 0 0 0 0 0 0 "no"
548.17 8.99 61 2 1957 4 0 0 0 0 1 0 0 "no"
421.03 7.02 60 3 1966 4 0 0 0 0 1 0 0 "no"
759.57 8.53 89 4 1960 4 0 0 0 0 1 0 0 "no"
390 4.24 92 3 1918 4 1 0 1 1 0 0 0 "yes"
436.89 6.72 65 2 1918 4 1 0 0 0 0 0 0 "yes"
174.76 3.07 57 3 1957 14 0 0 0 0 1 0 0 "no"
354.91 9.34 38 1 1967 14 0 0 0 0 1 0 1 "no"
491.62 9.83 50 2 1985 14 0 0 0 0 0 0 0 "no"
695.36 11.04 63 2 1992 3 1 0 0 0 0 1 0 "no"
540.22 7.2 75 3 1966 5 0 0 0 0 0 0 0 "no"
325.12 6.13 53 2 1976 17 0 0 0 0 0 0 0 "no"
598.88 6.81 88 4 1966 21 1 0 0 0 1 0 0 "no"
466.38 6.86 68 3 1971 22 0 0 0 0 0 0 0 "no"
374.13 6.93 54 2 1960 7 0 0 0 0 0 0 0 "no"
488.3 6.34 77 3 1972 7 0 0 0 0 0 0 0 "no"
662.55 8.39 79 3 1957.5 3 1 0 0 0 0 0 0 "no"
357.05 9.92 36 2 1960 3 1 0 0 1 0 0 0 "no"
1061.81 11.3 94 3 1993 15 1 0 0 0 0 1 0 "no"
546.1 8.03 68 3 1918 9 1 0 0 0 0 0 0 "yes"
360.48 5.81 62 3 1918 9 1 0 1 1 0 0 0 "yes"
422.43 4.18 101 4 1918 9 1 0 0 1 0 0 0 "yes"
433.25 6.37 68 3 1966 13 0 0 0 0 1 0 0 "no"
521.53 10.87 48 2 1987 2 1 0 0 0 0 0 0 "no"
264.99 8.55 31 1 1973 11 0 0 0 0 0 0 0 "no"
480.1 7.39 65 3 1971 11 0 0 0 0 0 0 0 "no"
383.72 10.66 36 1 1972 4 1 0 0 0 0 0 0 "no"
636.13 11.78 54 2 1999 10 0 0 0 0 0 0 1 "no"
415.91 7.56 55 2 1986 10 0 0 0 0 0 0 0 "no"
1355.28 11.99 113 4 2001 23 0 0 0 0 0 0 0 "no"
575.9 5.24 110 4 1966 23 0 0 0 0 0 1 0 "no"
935.9 12.48 75 3 1971 12 1 0 0 0 0 0 0 "no"
624.8 8.33 75 2 1985 12 1 0 0 0 0 0 0 "no"
606.91 9.06 67 3 1968 19 0 0 0 0 1 0 1 "no"
347.68 8.91 39 1 1970 19 0 0 0 0 0 0 0 "no"
373.98 10.39 36 1 1966 7 0 0 0 0 1 0 0 "no"
1063.5 10.43 102 4 1924 12 1 0 0 0 0 0 0 "yes"
894.78 10.17 88 3 1960 12 0 0 0 0 0 0 0 "no"
1077.23 7.33 147 4 1918 12 1 0 0 0 0 1 0 "yes"
331.67 5.1 65 3 1966 19 0 0 0 0 0 0 0 "no"
849.24 9.99 85 3 1969 19 0 0 0 0 0 0 0 "no"
1012.86 8.73 116 6 2001 24 0 0 0 0 0 1 0 "no"
664.69 9.11 73 3 1924 23 0 0 0 0 0 0 1 "yes"
1022.6 11.36 90 3 1989 19 0 1 0 0 0 0 0 "no"
640.32 7.91 81 3 1972 19 1 0 0 0 1 0 0 "no"
649.35 11.81 55 2 1983 19 0 1 0 0 0 0 0 "no"
699.46 9.2 76 3 1918 5 0 0 0 0 1 0 0 "yes"
479.46 8.56 56 2 1957 5 1 0 0 1 1 0 0 "no"
400.34 9.31 43 1 1984 17 0 0 0 0 0 0 0 "no"
1151.63 10.97 105 3 1918 5 1 0 0 0 0 1 0 "yes"
593.4 8.99 66 3 1966 17 0 0 0 0 0 0 0 "no"
817.25 8.6 95 3 1918 5 0 0 0 0 0 0 0 "yes"
584.38 9.58 61 2 1960 4 0 0 0 0 0 0 0 "no"
505.62 8.87 57 3 1966 6 0 0 0 0 1 0 0 "no"
621.6 8.4 74 3 1984 12 0 0 0 0 0 0 0 "no"
706.61 7.36 96 3 1971 15 1 0 0 0 0 1 0 "no"
691.92 7.77 89 3 1972 13 1 0 0 0 0 1 0 "no"
566.21 8.99 63 2 1979 15 1 0 0 0 0 0 0 "no"
269.84 4.35 62 2 1918 2 0 0 1 1 0 0 0 "yes"
526.7 4.02 131 5 1924 2 0 0 0 0 0 0 0 "yes"
710.69 10.45 68 2 2000 2 0 0 0 0 0 1 0 "no"
689.49 8.21 84 3 1983 2 0 0 0 0 0 0 0 "no"
511.3 10.23 50 2 1968 2 0 0 0 0 0 0 0 "no"
418.3 5.73 73 4 1960 14 0 0 0 0 0 0 0 "no"
415.32 6.39 65 3 1966 14 0 0 0 0 0 0 0 "no"
445.33 7.81 57 2 1918 14 0 0 0 0 0 0 0 "yes"
359.73 4.13 87 3 1924 10 0 0 0 0 0 0 0 "yes"
890 10.23 87 3 1984 9 1 0 0 0 0 0 0 "no"
483.43 8.95 54 2 1992 9 1 0 0 0 0 0 0 "no"
656.51 11.13 59 2 1992 9 1 0 0 0 0 0 0 "no"
695 7.64 91 3 1966 12 0 0 0 0 0 0 0 "no"
106.22 3.32 32 1 1957 11 0 0 0 0 0 0 0 "no"
132.24 3.57 37 2 1948 11 0 0 1 1 0 0 0 "yes"
456.44 4.91 93 4 1977 11 0 0 0 0 0 0 0 "no"
489 6.19 79 3 1948 13 0 0 0 0 0 0 0 "yes"
825.48 8.01 103 4 1982 18 0 0 0 0 0 1 0 "no"
831.28 9.04 92 3 1966 16 0 0 0 0 0 0 1 "no"
715.82 10.23 70 3 1960 18 0 0 0 0 0 0 0 "no"
637.38 8.39 76 3 1989 13 0 0 0 0 0 0 0 "no"
813.78 11.3 72 3 1992 13 0 0 0 0 0 0 0 "no"
339.5 3.77 90 3 1973 13 1 0 0 0 0 1 1 "no"
598.23 8.31 72 3 1957 25 0 0 0 0 0 0 0 "no"
361.97 5.48 66 2 1924 25 0 0 0 0 0 0 0 "yes"
693.57 8.67 80 3 1966 25 0 0 0 0 0 0 0 "no"
549.98 7.64 72 3 1973 25 0 0 0 0 0 0 0 "no"
621.79 9.57 65 2 1998.5 24 0 0 0 0 0 0 1 "no"
352.85 4.97 71 3 1993 24 0 0 0 0 0 0 0 "no"
969.36 8.89 109 4 1983 21 1 0 0 0 0 1 0 "no"
298.95 5.44 55 2 1997 21 0 0 0 0 0 0 0 "no"
456.94 7.62 60 2 1997 21 0 0 0 0 0 1 0 "no"
292.28 8.35 35 2 1966 21 0 0 0 0 0 0 0 "no"
649.82 6.37 102 4 1974 13 0 0 0 0 0 1 0 "no"
363.91 11.37 32 1 1918 5 1 0 0 0 0 0 0 "yes"
1749.15 14.22 123 4 1918 13 0 1 0 0 0 0 0 "yes"
679.01 8.28 82 3 1972 13 0 0 0 0 0 0 0 "no"
643.64 9.07 71 3 1972 13 0 0 0 0 0 0 0 "no"
727.96 9.1 80 3 1918 5 0 0 0 0 0 0 0 "yes"
963.84 9.01 107 4 1966 13 0 1 0 0 0 0 0 "no"
338.34 5.21 65 3 1960 19 0 0 0 0 0 0 0 "no"
718.07 10.26 70 2 1983 19 0 0 0 0 0 0 0 "no"
892.13 9.39 95 3 1918 2 0 0 0 0 0 1 0 "yes"
1217.15 9.66 126 4 1918 2 0 0 0 1 0 0 0 "yes"
338.15 8.05 42 2 1960 2 0 0 0 0 0 0 0 "no"
466.43 9.33 50 2 1968 3 0 0 0 0 0 0 0 "no"
570.1 7.22 79 4 1966 20 0 0 0 0 0 0 0 "no"
673.47 9.23 73 4 1960 15 1 0 0 0 0 0 0 "no"
562.58 10.23 55 2 1974 9 0 1 0 0 0 0 0 "no"
639.13 3.85 166 6 1918 9 1 0 1 0 0 1 0 "yes"
619.94 5.39 115 5 1918 9 1 0 0 0 1 0 0 "yes"
426.73 10.94 39 1 1957.5 5 0 0 0 0 0 1 0 "no"
